title,author,letter,entry_number,title_length,author_last_name,genre_hints
X-Men: Schism,Jason Aaron,X,59,13,Aaron,General Fiction
X-Men: Wolverine and the X-Men,Jason Aaron,X,71,30,Aaron,General Fiction
Prayers for Bobby,Leroy Aarons,P,63,17,Aarons,General Fiction
The Monkey Wrench Gang,Edward Abbey,M,24,22,Abbey,General Fiction
X Marks the Spot,Tony Abbott,X,12,16,Abbott,General Fiction
The House of the Mosque,Kader Abdolah,H,88,23,Abdolah,General Fiction
The Woman in the Dunes,Kobo Abe,W,83,22,Abe,General Fiction
The Zone,Joe Abercrombie,Z,40,8,Abercrombie,General Fiction
I Shall Not Hate,Izzeldin Abuelaish,I,80,16,Abuelaish,General Fiction
Why Nations Fail,Daron Acemoglu,W,100,16,Acemoglu,General Fiction
Things Fall Apart,Chinua Achebe,T,9,17,Achebe,General Fiction
Call Me by Your Name,André Aciman,C,81,20,Aciman,General Fiction
The Zookeeper's Wife,Diane Ackerman,Z,8,20,Ackerman,General Fiction
The Zone System,Ansel Adams,Z,56,15,Adams,General Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,H,19,36,Adams,General Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,T,32,36,Adams,General Fiction
The Restaurant at the End of the Universe,Douglas Adams,R,80,41,Adams,General Fiction
The Ultimate Hitchhiker's Guide,Douglas Adams,U,50,31,Adams,General Fiction
The Education of Henry Adams,Henry Adams,E,30,28,Adams,General Fiction
The Plague Dogs,Richard Adams,P,65,15,Adams,General Fiction
Watership Down,Richard Adams,W,10,14,Adams,General Fiction
Americanah,Chimamanda Ngozi Adichie,A,71,10,Adichie,General Fiction
Half of a Yellow Sun,Chimamanda Ngozi Adichie,H,21,20,Adichie,General Fiction
Purple Hibiscus,Chimamanda Ngozi Adichie,P,30,15,Adichie,General Fiction
White Tiger,Aravind Adiga,W,42,11,Adiga,General Fiction
Understanding Human Nature,Alfred Adler,U,76,26,Adler,General Fiction
The Keeper of Lost Causes,Jussi Adler-Olsen,K,53,25,Adler-Olsen,General Fiction
Halo,Alexandra Adornetto,H,99,4,Adornetto,General Fiction
The Oresteia,Aeschylus,O,23,12,Aeschylus,General Fiction
